Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Dense2 active,Dense2 num nodes,Dense2 batch normalization,Dense2 activation,Dense2 dropout,Dense3 active,Dense3 num nodes,Dense3 batch normalization,Dense3 activation,Dense3 dropout,Optimizer,Val Loss,Val Accuracy
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,512,0,0,10,0,1024,1,1,3,1,64,0,0,7,2,1.829025387763977,0.362199991941452
1,8,1,0,6,0,0,128,1,0,0,1,1,8,0,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.05784425139427185,0.983299970626831
1,128,0,0,0,0,0,64,0,1,7,2,1,128,0,1,8,2,0,16,1,0,9,0,1,64,0,0,1,1,0,256,1,0,5,1,64,1,1,0,0,1024,0,1,0,0,16,0,1,0,3,1.797029733657837,0.4627000093460083
1,16,1,0,9,2,1,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,128,1,0,9,1,64,1,0,8,1,512,1,1,9,3,1.8600728511810303,0.5027999877929688
1,256,0,1,3,1,1,8,0,0,10,0,0,16,1,0,10,2,1,64,0,0,5,2,1,64,1,0,10,2,0,1024,0,1,10,1,64,1,0,8,0,1024,0,0,4,1,512,0,1,6,2,2.3018288612365723,0.11349999904632568
1,256,0,0,4,1,1,256,0,1,4,0,1,16,1,0,6,2,0,256,1,0,8,1,0,128,1,1,10,0,1,64,0,1,9,0,256,0,0,7,1,128,0,0,2,1,128,0,1,5,1,0.0972258448600769,0.9750999808311462
1,16,0,1,9,0,0,32,1,1,6,1,0,256,0,0,4,2,0,256,1,1,10,0,0,64,0,1,3,2,1,32,1,1,0,1,256,0,0,9,1,1024,0,1,3,1,1024,1,0,4,3,2.2993829250335693,0.11159999668598175
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,0,0,2,1,16,0,0,1,1,1024,0,0,3,0,0.22940334677696228,0.925599992275238
1,16,0,0,1,2,0,32,1,1,8,1,1,128,1,0,3,2,1,256,1,0,5,1,1,32,1,0,2,1,0,32,1,1,1,0,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,0.031955819576978683,0.9898999929428101
1,8,1,1,10,2,1,128,0,0,8,0,0,64,1,0,3,2,1,32,1,0,7,2,1,8,1,0,9,0,1,128,0,0,3,1,256,1,1,10,0,128,0,0,9,0,256,1,1,8,1,0.03754162788391113,0.9886000156402588
1,16,0,1,1,1,1,16,1,1,8,1,1,128,1,0,3,0,1,256,1,0,5,1,1,32,1,0,2,1,0,32,1,1,1,0,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,1.826363444328308,0.4943000078201294
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,128,1,0,9,1,64,1,0,8,1,512,1,1,9,3,1.8992546796798706,0.4309999942779541
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,256,0,0,7,1,128,0,0,2,1,128,0,1,5,1,0.26169586181640625,0.9144999980926514
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,0,7,0,16,0,0,0,0,0.04151240736246109,0.9860000014305115
1,256,1,0,9,1,1,256,0,1,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,0,0,2,1,16,0,0,1,1,1024,0,0,3,0,0.10324699431657791,0.9702000021934509
1,8,1,1,10,2,1,128,0,0,8,0,0,64,1,0,3,2,1,32,1,0,1,0,1,256,1,0,5,0,1,256,1,0,10,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.10527800023555756,0.9711999893188477
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.37153160572052,0.8899999856948853
1,128,0,0,0,0,0,64,0,1,7,2,1,128,0,1,8,2,0,16,1,0,9,0,1,64,0,0,1,1,0,256,1,0,5,1,64,1,1,0,0,1024,0,1,0,0,16,0,1,0,3,2.156219482421875,0.19660000503063202
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,0,0,2,1,16,0,0,1,1,1024,0,1,3,0,0.17929255962371826,0.9473000168800354
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,512,0,0,10,0,1024,1,1,3,1,64,0,0,7,2,1.8497966527938843,0.4415000081062317
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,256,0,0,7,1,128,0,0,2,1,128,0,1,5,1,3.1417880058288574,0.28200000524520874
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.04075096175074577,0.988099992275238
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,0.2409907728433609,0.9222000241279602
1,256,1,0,9,1,1,256,0,1,7,0,1,256,1,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,0,0,2,1,16,0,0,1,1,1024,0,1,3,3,2.1176867485046387,0.28369998931884766
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,5,1,0.045891355723142624,0.9851999878883362
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,1024,1,0,3,0,256,0,0,7,1,128,0,0,2,1,128,0,1,5,1,0.12161489576101303,0.9660999774932861
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.07213911414146423,0.9833999872207642
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,0,0,1,1,16,1,0,9,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,3,0,0.13635972142219543,0.9571999907493591
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,0.31111159920692444,0.8981000185012817
1,16,0,1,1,1,1,16,1,1,8,1,1,128,1,0,3,0,1,256,1,0,5,1,1,32,1,0,2,1,0,32,1,1,1,0,128,0,0,7,1,64,0,0,7,0,16,0,0,0,0,2.5756986141204834,0.2840000092983246
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,0.22876064479351044,0.9387999773025513
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.11420810222625732,0.9627000093460083
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.04224582388997078,0.988099992275238
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.17025001347064972,0.9477999806404114
1,16,0,1,1,1,1,16,0,0,7,0,1,16,1,0,0,1,1,16,1,0,9,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,3,0,0.15190282464027405,0.9520000219345093
1,16,0,1,1,1,1,16,0,0,7,0,1,256,0,1,5,0,0,256,0,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,0.09731787443161011,0.9729999899864197
1,8,1,0,6,0,0,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,2,1,16,0,0,1,1,1024,0,1,2,0,0.05553643777966499,0.9828000068664551
1,16,0,1,2,1,1,16,0,0,10,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.052452366799116135,0.986299991607666
1,8,1,0,6,0,0,256,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.06831546127796173,0.9799000024795532
1,256,1,1,5,1,0,64,0,0,9,1,1,16,1,1,4,1,0,128,0,1,7,2,1,64,0,1,8,1,0,1024,1,0,3,0,256,0,0,7,1,128,0,1,2,1,128,0,1,5,1,0.4144400954246521,0.8600999712944031
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.16672012209892273,0.9477999806404114
1,16,0,1,1,1,1,128,1,1,0,1,1,256,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,3.2155332565307617,0.3578000068664551
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,128,0,1,9,1,3.010118007659912,0.39809998869895935
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.13542388379573822,0.9650999903678894
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.05222051218152046,0.9842000007629395
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,0,7,0,16,0,0,0,0,1.1253868341445923,0.6880000233650208
1,8,1,0,6,0,0,128,1,0,0,0,1,256,0,1,5,0,1,16,1,0,1,0,1,256,0,0,5,1,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.03849417343735695,0.9890000224113464
1,16,0,1,1,1,1,16,0,0,2,2,1,32,0,0,7,1,1,8,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.2060546576976776,0.9426000118255615
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.057064954191446304,0.9848999977111816
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,1.0617642402648926,0.7475000023841858
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.11491262167692184,0.967199981212616
1,8,0,1,1,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,128,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.05175473541021347,0.9857000112533569
1,8,1,0,6,0,0,256,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,0,1,0.036737218499183655,0.9891999959945679
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.056837309151887894,0.9848999977111816
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,5,0,1,16,1,1,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.046656131744384766,0.9872999787330627
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,5,1,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,2.2382442951202393,0.21570000052452087
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.07537282258272171,0.9758999943733215
1,8,1,0,6,0,0,256,0,0,2,2,1,256,0,1,5,0,0,256,1,0,5,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.1879836916923523,0.9495999813079834
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06040481477975845,0.9835000038146973
1,16,0,1,1,1,1,16,0,0,7,0,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.14756253361701965,0.9520999789237976
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.0799894854426384,0.9775000214576721
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,2,1,32,0,1,3,2,0,64,1,0,2,0,512,1,0,0,1,16,1,1,8,1,64,1,0,5,1,0.0857556015253067,0.9750000238418579
1,16,1,0,6,0,0,256,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,0,1,0.03078651800751686,0.9911999702453613
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.04292146489024162,0.9868999719619751
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07900653034448624,0.9846000075340271
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,3.006906747817993,0.3723999857902527
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.28940969705581665,0.913100004196167
1,8,0,1,1,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,128,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.08073264360427856,0.9793000221252441
1,16,0,1,1,1,1,128,1,1,0,1,1,8,1,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.5711122751235962,0.8687999844551086
1,16,0,1,1,1,1,128,1,0,0,1,1,8,1,0,0,1,1,16,1,0,9,2,1,16,0,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.41228970885276794,0.8792999982833862
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.08476227521896362,0.9731000065803528
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.6484506130218506,0.8264999985694885
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.0333402082324028,0.9905999898910522
1,16,0,1,1,1,1,16,0,0,1,0,0,8,0,1,5,0,1,16,1,0,1,0,1,16,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.06955627351999283,0.9829999804496765
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07920707762241364,0.9828000068664551
1,8,1,0,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05727452412247658,0.9842000007629395
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06916937977075577,0.9814000129699707
1,16,0,1,1,1,1,128,1,1,0,1,1,8,1,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,0,1,4.412632942199707,0.17399999499320984
1,8,1,0,6,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,0.7112085819244385,0.8919000029563904
1,16,0,1,1,1,1,8,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,8,1,64,1,0,5,1,0.20368321239948273,0.9447000026702881
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,2.2961692810058594,0.14190000295639038
1,8,1,0,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.047818757593631744,0.9869999885559082
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,0.2100667506456375,0.9445000290870667
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,2,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05496035888791084,0.9861000180244446
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06931629776954651,0.9860000014305115
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06942593306303024,0.9818999767303467
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.07484927028417587,0.9805999994277954
1,16,0,1,1,1,1,8,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,1,2,1,1,256,1,0,0,1,32,1,0,2,1,64,0,1,4,1,64,1,0,5,1,0.06908180564641953,0.9790999889373779
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.05156394839286804,0.9842000007629395
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.05753164738416672,0.9815000295639038
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,2,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,1,0,4,1,64,1,0,5,1,0.06809958070516586,0.9807000160217285
1,8,1,0,6,0,0,256,0,0,10,0,1,256,0,1,0,1,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.27856412529945374,0.9308000206947327
1,8,1,1,6,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,5,1,0.05799008905887604,0.9829999804496765
1,16,0,1,1,1,0,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,5,0,1,256,0,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,1,2.3019163608551025,0.11349999904632568
1,8,1,0,10,1,1,16,0,0,10,0,0,8,0,1,5,0,1,16,1,0,1,0,1,256,0,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.08136124908924103,0.9786999821662903
1,16,0,1,1,1,1,256,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.06808972358703613,0.9830999970436096
1,16,0,1,1,1,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,1,256,1,0,3,0,1,256,1,1,10,0,512,1,0,7,1,128,0,0,2,1,64,0,1,9,1,0.07268213480710983,0.98089998960495
1,16,0,1,1,1,0,16,0,0,10,2,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,0,1,9,1,0.09298212826251984,0.9725000262260437
1,16,0,1,1,2,0,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,1,0,0,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,128,1,0,5,1,0.1094285398721695,0.9646999835968018
1,16,0,1,1,1,1,16,0,0,10,0,1,8,0,1,5,0,1,16,1,0,8,1,1,256,1,0,5,0,1,256,1,1,10,0,512,1,0,7,1,64,0,1,8,1,64,1,0,5,2,2.305044651031494,0.0982000008225441
